Iteration,Loss,Elapsed Time
924,1.611,24409.6
925,1.579,24436.4
926,1.57,24463.6
927,1.598,24494.7
928,1.617,24520.4
929,1.663,24549
930,1.657,24575.8
931,1.644,24602.4
932,1.64,24629.5
933,1.675,24655
934,1.642,24680.2
935,1.619,24707.2
936,1.62,24731.9
937,1.651,24758.8
938,1.628,24784.4
939,1.615,24816.7
940,1.618,24843
941,1.611,24870
942,1.605,24893.9
943,1.608,24919.4
944,1.61,24943.5
945,1.607,24968.7
946,1.622,24996.2
947,1.601,25022.4
948,1.6,25049
949,1.593,25076
950,1.605,25102.8
951,1.616,25135.1
952,1.612,25159.8
953,1.631,25189.7
954,1.636,25216.9
955,1.616,25243.4
956,1.629,25269
957,1.601,25294.1
958,1.592,25318.8
959,1.573,25346.7
960,1.563,25373.7
961,1.558,25398.4
962,1.564,25432.2
963,1.605,25457.1
964,1.583,25483.1
965,1.569,25509.1
966,1.554,25534.9
967,1.525,25561.9
968,1.556,25590.1
969,1.544,25616.5
970,1.579,25644
971,1.578,25669.6
972,1.568,25698.1
973,1.587,25726.3
974,1.602,25761.2
975,1.638,25787.5
976,1.64,25813.8
977,1.616,25841.4
978,1.596,25866.3
979,1.609,25893.6
980,1.583,25921.3
981,1.567,25949.3
982,1.547,25974.7
983,1.548,26001.1
984,1.562,26027.5
985,1.553,26053.9
986,1.55,26087.7
987,1.538,26115
988,1.517,26141.4
989,1.509,26168.2
990,1.544,26193.5
991,1.576,26219.6
992,1.592,26247.8
993,1.598,26273.4
994,1.593,26297.8
995,1.587,26324.7
996,1.573,26350.3
997,1.584,26377
998,1.583,26411
999,1.587,26436.7
1000,1.586,26461.8
1001,1.596,26489.1
1002,1.588,26516.3
1003,1.58,26542.8
1004,1.577,26571.1
1005,1.577,26596.7
1006,1.587,26623.6
1007,1.581,26651.3
1008,1.571,26677
1009,1.564,26703
1010,1.56,26738.2
1011,1.564,26764.3
1012,1.568,26791.7
1013,1.556,26819.6
1014,1.527,26843.5
1015,1.535,26871.3
1016,1.534,26896.2
1017,1.547,26922.8
1018,1.558,26949.8
1019,1.565,26979.2
1020,1.577,27005.3
1021,1.581,27029.3
1022,1.565,27063.3
1023,1.571,27088.4
1024,1.58,27116.7
1025,1.623,27140.9
1026,1.606,27168
1027,1.62,27193.5
1028,1.613,27221.4
1029,1.645,27248.4
1030,1.636,27275.2
1031,1.608,27301.4
1032,1.612,27329.2
1033,1.617,27356
1034,1.625,27389
1035,1.598,27416.2
1036,1.608,27443.4
1037,1.615,27472.1
1038,1.597,27499.4
1039,1.607,27526.2
1040,1.598,27552.6
1041,1.596,27578.2
1042,1.58,27605.1
1043,1.563,27631.1
1044,1.605,27656.6
1045,1.621,27682
1046,1.623,27715.2
1047,1.629,27740.2
1048,1.63,27768.6
1049,1.63,27796
1050,1.606,27821.6
1051,1.59,27849.6
1052,1.622,27876.5
1053,1.646,27902.5
1054,1.636,27930.7
1055,1.626,27957.7
1056,1.628,27983.3
1057,1.632,28016.7
1058,1.611,28043.1
1059,1.596,28068.5
1060,1.592,28095.8
1061,1.567,28122.1
1062,1.566,28149.4
1063,1.562,28177.3
1064,1.554,28203.2
1065,1.578,28226.7
1066,1.58,28255.3
1067,1.615,28282.1
1068,1.588,28308.5
1069,1.558,28343.1
1070,1.547,28369
1071,1.529,28396
1072,1.567,28421.7
1073,1.561,28448.2
1074,1.558,28475.8
1075,1.573,28503.5
1076,1.576,28530.4
1077,1.55,28557.8
1078,1.59,28587.4
1079,1.583,28613.5
1080,1.594,28639.1
1081,1.599,28673.6
1082,1.572,28700.7
1083,1.568,28725.6
1084,1.578,28751.3
1085,1.558,28778.9
1086,1.592,28805
1087,1.585,28831.3
1088,1.574,28857.4
1089,1.561,28883.9
1090,1.569,28912.2
1091,1.603,28939
1092,1.609,28963.8
1093,1.616,29000.9
1094,1.611,29026.9
1095,1.593,29053.7
1096,1.591,29079.2
1097,1.572,29106.8
1098,1.571,29132.8
1099,1.588,29158.4
1100,1.579,29184.9
1101,1.591,29211.9
1102,1.59,29238.3
1103,1.585,29263
1104,1.57,29288.6
1105,1.571,29323.1
1106,1.569,29351.2
1107,1.583,29378.6
1108,1.58,29407
1109,1.575,29432.6
1110,1.559,29459.5
1111,1.591,29484.7
1112,1.579,29510.6
1113,1.611,29538
1114,1.634,29563.5
1115,1.615,29588.7
1116,1.593,29617.6
1117,1.611,29649.7
1118,1.6,29676.5
1119,1.604,29701.5
1120,1.598,29727.7
1121,1.581,29752.9
1122,1.557,29778.6
1123,1.538,29803.2
1124,1.533,29829.8
1125,1.562,29856.9
1126,1.557,29881.8
1127,1.572,29909
1128,1.544,29935.2
1129,1.518,29969.6
1130,1.533,29993.7
1131,1.563,30021.8
1132,1.547,30048.1
1133,1.534,30074.8
1134,1.514,30103
1135,1.504,30129
1136,1.53,30153.6
1137,1.532,30181.6
1138,1.573,30207.2
1139,1.57,30232.1
1140,1.55,30259.3
1141,1.552,30292.6
1142,1.558,30318.3
1143,1.54,30346.2
1144,1.542,30371.4
1145,1.551,30397.7
1146,1.56,30423.5
1147,1.562,30449.3
1148,1.581,30475.6
1149,1.574,30503.4
1150,1.568,30530.9
1151,1.575,30556.2
1152,1.564,30590.1
1153,1.588,30615.7
1154,1.601,30641.6
1155,1.591,30671.2
1156,1.575,30697.5
1157,1.578,30725.7
1158,1.586,30752.8
1159,1.588,30778.8
1160,1.608,30806.4
1161,1.605,30833.3
1162,1.606,30859.3
1163,1.62,30882.9
1164,1.603,30916.6
1165,1.602,30942.3
1166,1.593,30970.6
1167,1.59,30996.8
1168,1.594,31022.1
1169,1.549,31046.6
1170,1.581,31072.8
1171,1.569,31098.4
1172,1.547,31123.9
1173,1.523,31150.9
1174,1.519,31179.4
1175,1.514,31205.8
1176,1.51,31239.2
1177,1.515,31265.5
1178,1.54,31290.6
1179,1.527,31317.3
1180,1.518,31342.2
1181,1.53,31366.8
1182,1.534,31394.7
1183,1.543,31420.6
1184,1.573,31445.7
1185,1.556,31472.9
1186,1.535,31498.7
1187,1.533,31523.9
1188,1.583,31556.8
1189,1.589,31581.2
1190,1.58,31605.6
1191,1.585,31631.4
1192,1.567,31657.8
1193,1.562,31683
1194,1.617,31710.4
1195,1.605,31736.7
1196,1.604,31761.2
1197,1.609,31788.2
1198,1.586,31814.7
1199,1.616,31841.5
1200,1.596,31876.9
1201,1.611,31902.7
1202,1.606,31929.1
1203,1.604,31955.1
1204,1.597,31979.5
1205,1.605,32006.4
1206,1.618,32030.9
1207,1.626,32057.2
1208,1.618,32083.9
1209,1.605,32110.6
1210,1.607,32134.9
1211,1.595,32161.3
1212,1.577,32197.1
1213,1.628,32225.9
1214,1.617,32252.4
1215,1.617,32279.6
1216,1.622,32303.8
1217,1.632,32329.2
1218,1.623,32357.6
1219,1.618,32383.6
1220,1.605,32408.9
1221,1.608,32435
1222,1.616,32459.9
1223,1.641,32484.5
1224,1.66,32519.6
1225,1.649,32544
1226,1.63,32571.3
1227,1.612,32597.4
1228,1.574,32622.9
1229,1.584,32650.2
1230,1.581,32676.7
1231,1.581,32702.3
1232,1.548,32728
1233,1.55,32756.1
1234,1.566,32781.3
1235,1.576,32807.9
1236,1.597,32843.5
1237,1.598,32871.8
1238,1.581,32899
1239,1.597,32924.6
1240,1.593,32951.2
1241,1.592,32977.8
1242,1.579,33004
1243,1.584,33028.1
1244,1.607,33053.4
1245,1.585,33081.4
1246,1.577,33106
1247,1.563,33141.4
1248,1.6,33168.4
1249,1.587,33193.8
1250,1.584,33220.8
1251,1.608,33247.2
1252,1.599,33272.5
1253,1.576,33297.4
1254,1.578,33325.5
1255,1.598,33350.3
1256,1.566,33376.8
1257,1.581,33403.1
1258,1.578,33428.6
1259,1.562,33463.3
1260,1.564,33489.6
1261,1.545,33515.3
1262,1.53,33540.5
1263,1.532,33566.5
1264,1.541,33593.6
1265,1.543,33621.4
1266,1.564,33647.8
1267,1.567,33674.3
1268,1.59,33700.4
